Reciept ID: 47213527, Reciept Date: 08/09/2022, Sale Amount: $20.89, Total Sales: $20.89
Reciept ID: 58462358, Reciept Date: 08/23/2022, Sale Amount: $79.66, Total Sales: $100.55
Reciept ID: 78496352, Reciept Date: 03/10/2023, Sale Amount: $84.64, Total Sales: $185.19
Reciept ID: 98598969, Reciept Date: 05/16/2023, Sale Amount: $52.64, Total Sales: $237.82999999999998
Reciept ID: 85475826, Reciept Date: 11/23/2023, Sale Amount: $11, Total Sales: $248.82999999999998
Reciept ID: 89658754, Reciept Date: 07/04/2023, Sale Amount: $110.5, Total Sales: $359.33
Reciept ID: 84758496, Reciept Date: 01/20/2023, Sale Amount: $36.33, Total Sales: $395.65999999999997
Reciept ID: 74859625, Reciept Date: 02/25/2023, Sale Amount: $101.4, Total Sales: $497.05999999999995
Reciept ID: 95682635, Reciept Date: 10/03/2023, Sale Amount: $9.25, Total Sales: $506.30999999999995
Reciept ID: 78452569, Reciept Date: 04/06/2023, Sale Amount: $70, Total Sales: $576.31
Reciept ID: 74852458, Reciept Date: 08/07/2023, Sale Amount: $94.34, Total Sales: $670.65
Reciept ID: 86598748, Reciept Date: 11/28/2023, Sale Amount: $45, Total Sales: $715.65
Reciept ID: 58978541, Reciept Date: 01/30/2023, Sale Amount: $22.1, Total Sales: $737.75
Reciept ID: 48574853, Reciept Date: 03/16/2023, Sale Amount: $54.57, Total Sales: $792.32
Reciept ID: 69587562, Reciept Date: 04/15/2023, Sale Amount: $24.5, Total Sales: $816.82
Reciept ID: 85687562, Reciept Date: 05/15/2023, Sale Amount: $52.16, Total Sales: $868.98
Reciept ID: 15248763, Reciept Date: 06/19/2023, Sale Amount: $110, Total Sales: $978.98
Reciept ID: 15423625, Reciept Date: 02/15/2023, Sale Amount: $18.6, Total Sales: $997.58
Reciept ID: 85874868, Reciept Date: 03/15/2023, Sale Amount: $64.37, Total Sales: $1061.95
Reciept ID: 85956247, Reciept Date: 10/15/2023, Sale Amount: $67.2, Total Sales: $1129.15
Reciept ID: 59623054, Reciept Date: 10/22/2023, Sale Amount: $25.76, Total Sales: $1154.91
Reciept ID: 14523054, Reciept Date: 11/21/2023, Sale Amount: $174.56, Total Sales: $1329.47
Reciept ID: 25491845, Reciept Date: 12/11/2023, Sale Amount: $111.6, Total Sales: $1441.07
Reciept ID: 25148669, Reciept Date: 08/08/2023, Sale Amount: $24.92, Total Sales: $1465.99
Reciept ID: 85978669, Reciept Date: 08/15/2023, Sale Amount: $46.28, Total Sales: $1512.27
Reciept ID: 98659847, Reciept Date: 01/26/2023, Sale Amount: $68.32, Total Sales: $1580.59
Reciept ID: 98574854, Reciept Date: 01/03/2023, Sale Amount: $17.7, Total Sales: $1598.29
Reciept ID: 78485601, Reciept Date: 03/30/2023, Sale Amount: $44, Total Sales: $1642.29
Reciept ID: 89565654, Reciept Date: 04/16/2023, Sale Amount: $61.2, Total Sales: $1703.49
Reciept ID: 15485142, Reciept Date: 05/16/2023, Sale Amount: $76.5, Total Sales: $1779.99
